method,image,mse,psnr,ssim,eval_time_s
SRCNN,0091.png,96.78449148539625,28.272745882899635,0.8485035338530543,0.3847
Nearest,0091.png,133.0057208690768,26.892100395366278,0.8168497933810112,0.3662
Bilinear,0091.png,116.62708620557598,27.462809354576944,0.823253756838779,0.3687
Bicubic,0091.png,99.34019256791258,28.159553633413736,0.8445206445739535,0.3631
SRCNN,0092.png,208.3049074925109,24.943808591783906,0.7879420245083625,0.2621
Nearest,0092.png,241.47869944852943,24.302015326952876,0.7685195260038659,0.2237
Bilinear,0092.png,226.1533071214597,24.58677417894532,0.7680000557669046,0.2547
Bicubic,0092.png,211.2844039351852,24.882129202986498,0.7827693089829727,0.2560
SRCNN,0093.png,244.22044490310745,24.25298342794939,0.684820255839076,0.3200
Nearest,0093.png,324.3801642586859,23.02026071482862,0.625661877863208,0.2793
Bilinear,0093.png,288.0025892959523,23.536839685535092,0.6306598647028103,0.2980
Bicubic,0093.png,249.9791964080954,24.151764932402923,0.672736867645077,0.3027
SRCNN,0094.png,239.3553913861142,24.34037146627261,0.7438937684921704,0.2774
Nearest,0094.png,353.1533184578863,22.65117069348607,0.6882779174490106,0.2480
Bilinear,0094.png,292.2716796152423,23.472936255060134,0.7059442453208085,0.2787
Bicubic,0094.png,245.95465724811936,24.22225310357966,0.7371581194155017,0.3006
SRCNN,0095.png,68.08414562727746,29.800343688995483,0.8278197228238814,0.3079
Nearest,0095.png,92.50541782347157,28.46913191783651,0.7910888990813268,0.2710
Bilinear,0095.png,80.10741186592631,29.0940766021996,0.799991717675435,0.2922
Bicubic,0095.png,69.11254952571,29.73523446707736,0.8239318619117911,0.2900

SRCNN,AVERAGE,171.34987617888126,26.32205061158021,0.7785958611033089,0.0
Nearest,AVERAGE,228.90466417153002,25.06693580969407,0.7380796027556846,0.0
Bilinear,AVERAGE,200.63241482083131,25.630687215263418,0.7455699280609475,0.0
Bicubic,AVERAGE,175.1341999370045,26.230187067892036,0.7722233605058592,0.0
